"LEAGUE","NAME","DY+/-","PLAYER ID","POS","SEASON","GP","EV P1/GP","PP P1/GP","P1/GP","EV G","EV A1","EV A2","EV P1","PP G","PP A1","PP A2","PP P1","SH G","SH A1","SH A2","EV S","EV S%","PP S%","PP S","TS","S%","TG","TP1","TP","TP/GP","TS/GP","EV%","Goals/P1","EV GF","EV GA","EV GF%","EV GF%Rel","OFF EV GF","OFF EV GA","eTOI/GP","P1/e60","DOB","AGE SEPT 15","AGE DEC 31","#","TEAM","HT","SHOOTS","DRAFT YEAR","NHL DRAFT","DRAFT TEAM","NHL TEAM","HEATMAP"
"QMJHL","Maxim Bykov","DY","45632/maxim-bykov","F","2020","63","0.3175","0.1429","0.4603","15","5","4","20","5","4","1","9","0","0","0","142","10.56","14.71","34","176","11.36","20","29","34","0.5397","2.79","68.97","68.97","49","32","60.49","12.61","113","123","15.75","1.7537","2002-07-02","18.20","18.50","9","BLB","6'00","R","2020","","","-","pick224.com/images/45632_maxim-bykov2020.png"
"QMJHL","Josh Lawrence","DY","45390/josh-lawrence","F","2020","64","0.3750","0.0781","0.4531","17","7","9","24","2","3","4","5","0","0","0","137","12.41","6.90","29","166","11.45","19","29","42","0.6563","2.59","82.76","65.52","53","65","44.92","0.56","114","143","16.42","1.6556","2002-01-28","18.63","18.93","18","SNB","5'07","R","2020","","","-","pick224.com/images/45390_josh-lawrence2020.png"
"WHL","Kishaun Gervais","DY","47078/kishaun-gervais","F","2020","31","0.4516","0.0000","0.4516","8","6","3","14","0","0","0","0","0","0","0","0","0.00","0.00","0","57","14.04","8","14","17","0.5484","1.84","100.00","57.14","20","4","83.33","16.43","93","46","11.04","2.4542","2001-11-04","18.86","19.16","20","POR","5'07","L","2020","","","-",""
"QMJHL","Raivis Ansons","DY","48968/raivis-ansons","F","2020","60","0.2167","0.2333","0.4500","4","9","5","13","9","5","3","14","0","0","0","108","3.70","37.50","24","139","9.35","13","27","35","0.5833","2.32","48.15","48.15","33","47","41.25","- 1.41","93","125","16.66","1.6206","2002-01-29","18.63","18.92","55","BAC","6'01","L","2020","","","-","pick224.com/images/45914_raivis-ansons2020.png"
"WHL","Simon Knak","DY","46109/simon-knak","F","2020","49","0.3673","0.0816","0.4490","7","11","10","18","2","2","2","4","0","0","0","0","0.00","0.00","0","134","6.72","9","22","34","0.6939","2.73","81.82","40.91","39","25","60.94","- 1.90","115","68","13.80","1.9516","2002-01-27","18.63","18.93","36","POR","6'01","L","2020","","","-",""
"OHL","Alec Belanger","DY","45592/alec-belanger","D","2020","61","0.3607","0.0820","0.4426","8","14","4","22","2","3","1","5","0","0","0","80","10.00","14.29","14","95","10.53","10","27","32","0.5246","1.56","81.48","37.04","60","37","61.86","- 3.34","148","79","17.34","1.5316","2002-05-29","18.29","18.59","26","OTT","6'00","L","2020","","","-","pick224.com/images/45592_alec-belanger2020.png"
"WHL","Kyrell Sopotyk","DY","45265/kyrell-sopotyk","F","2020","43","0.3721","0.0233","0.4419","7","9","6","16","1","0","2","1","1","1","0","0","0.00","0.00","0","78","11.54","9","19","27","0.6279","1.81","94.12","47.06","36","17","67.92","7.55","96","63","12.98","2.0426","2001-11-10","18.85","19.14","12","KAM","5'10","L","2020","","","-",""
"WHL","Cole Shepard","DY","45323/cole-shepard","F","2020","50","0.3200","0.1200","0.4400","8","8","6","16","3","3","1","6","0","0","0","0","0.00","0.00","0","80","13.75","11","22","29","0.5800","1.60","72.73","50.00","32","26","55.17","0.07","81","66","13.67","1.9310","2002-01-02","18.70","19.00","16","VAN","5'10","L","2020","","","-",""
"WHL","Keanu Derungs","DY","46116/keanu-derungs","F","2020","57","0.2456","0.1930","0.4386","9","5","2","14","6","5","2","11","0","0","0","0","0.00","0.00","0","101","14.85","15","25","29","0.5088","1.77","56.00","60.00","22","40","35.48","- 10.45","79","93","13.55","1.9427","2002-04-27","18.38","18.68","22","VIC","5'11","L","2020","","","-",""
"OHL","Anthony Tabak","DY","45295/anthony-tabak","F","2020","67","0.3433","0.0299","0.4328","9","14","8","23","0","2","5","2","2","2","0","87","10.34","0.00","7","102","10.78","11","29","42","0.6269","1.52","92.00","36.00","52","64","44.83","0.05","133","164","15.29","1.6988","2001-12-06","18.78","19.07","16","SAR/BAR","6'04","L","2020","","","-","pick224.com/images/45295_anthony-tabak2020.png"
"WHL","Payton Mount","DY","45366/payton-mount","F","2020","62","0.2419","0.1613","0.4194","8","7","7","15","6","4","6","10","1","0","0","0","0.00","0.00","0","117","12.82","15","26","39","0.6290","1.89","60.00","56.00","31","39","44.29","- 1.01","101","122","13.44","1.8726","2002-01-19","18.66","18.95","19","SEA","5'08","R","2020","","","-",""
"OHL","Riley Piercey","DY","45483/riley-piercey","F","2020","62","0.3710","0.0484","0.4194","14","9","8","23","3","0","0","3","0","0","0","105","13.33","18.75","16","121","14.05","17","26","34","0.5484","1.95","88.46","65.38","51","56","47.66","- 6.49","137","116","14.47","1.7390","2002-03-20","18.49","18.78","19","BAR/FLNT","6'03","L","2020","","","-","pick224.com/images/45483_riley-piercey2020.png"
"QMJHL","Alexandre Doucet","DY","45903/alexandre-doucet","F","2020","62","0.3548","0.0645","0.4194","6","16","9","22","2","2","2","4","0","0","0","80","7.50","25.00","8","90","8.89","8","26","37","0.5968","1.45","84.62","30.77","47","40","54.02","12.46","101","142","14.24","1.7666","2002-01-12","18.68","18.97","47","VDO","5'10","L","2020","","","-","pick224.com/images/45903_alexandre-doucet2020.png"
"WHL","Braden Schneider","DY","45175/braden-schneider","D","2020","60","0.2333","0.1500","0.4167","4","10","6","14","2","7","11","9","1","1","0","0","0.00","0.00","0","108","6.48","7","25","42","0.7000","1.80","60.87","26.09","62","50","55.36","- 1.45","96","73","19.91","1.2556","2001-09-20","18.99","19.28","2","BDN","6'02","R","2020","","","-",""
"WHL","Nolan Ritchie","DY","45585/nolan-ritchie","F","2020","24","0.3333","0.0833","0.4167","3","5","0","8","2","0","1","2","0","0","0","0","0.00","0.00","0","47","10.64","5","10","11","0.4583","1.96","80.00","50.00","14","12","53.85","10.32","37","48","12.98","1.9268","2002-05-27","18.30","18.59","10","BDN","5'07","L","2020","","","-",""
"OHL","Nicholas Wong","DY","45164/nicholas-wong","F","2020","61","0.2623","0.1148","0.3934","7","9","6","16","7","0","2","7","0","1","0","98","7.14","28.00","25","123","11.38","14","24","32","0.5246","2.02","69.57","60.87","31","61","33.70","- 9.66","111","145","15.02","1.5715","2001-09-17","18.99","19.29","67","KGN","5'09","R","2020","","","-","pick224.com/images/45164_nicholas-wong2020.png"
"OHL","Dustin Hutton","DY","45180/dustin-hutton","F","2020","51","0.3529","0.0392","0.3922","6","12","8","18","0","2","0","2","0","0","0","55","10.91","0.00","2","59","10.17","6","20","28","0.5490","1.16","90.00","30.00","33","36","47.83","4.42","102","133","12.73","1.8481","2001-09-22","18.98","19.28","18","PBO/KGN","5'09","L","2020","","","-","pick224.com/images/45180_dustin-hutton2020.png"
"OHL","Ty Collins","DY","45606/ty-collins","F","2020","59","0.3220","0.0678","0.3898","12","7","3","19","1","3","1","4","0","0","0","114","10.53","9.09","11","125","10.40","13","23","27","0.4576","2.12","82.61","56.52","39","45","46.43","- 8.22","141","117","14.06","1.6642","2002-06-11","18.26","18.56","71","GUE/MISS","6'00","R","2020","","","-","pick224.com/images/45606_ty-collins2020.png"
"OHL","Ryan O'Rourke","DY","45575/ryan-o-rourke","D","2020","54","0.2222","0.1296","0.3889","3","9","8","12","4","3","8","7","0","2","0","90","3.33","15.38","26","117","5.98","7","21","37","0.6852","2.17","63.16","36.84","69","57","54.76","8.48","81","94","23.44","0.9957","2002-05-16","18.33","18.63","21","SOO","6'02","L","2020","","","-","pick224.com/images/45575_ryan-o-rourke2020.png"
"QMJHL","Xavier Fortin","DY","45417/xavier-fortin","F","2020","66","0.3333","0.0455","0.3788","9","13","3","22","1","2","0","3","0","0","0","86","10.47","10.00","10","97","10.31","10","25","28","0.4242","1.47","88.00","40.00","37","39","48.68","3.19","106","127","13.46","1.6881","2002-02-07","18.61","18.90","11","CHA/BAC","5'09","L","2020","","","-","pick224.com/images/45417_xavier-fortin2020.png"
"OHL","Cameron Butler","DY","45603/cameron-butler","F","2020","66","0.2121","0.1667","0.3788","10","4","7","14","8","3","0","11","0","0","0","128","7.81","28.57","28","156","11.54","18","25","32","0.4848","2.36","56.00","72.00","43","81","34.68","- 10.89","108","129","17.38","1.3077","2002-06-09","18.27","18.56","12","PBO/NIAG","6'04","R","2020","","","-","pick224.com/images/45603_cameron-butler2020.png"
"QMJHL","Miguel Tourigny","DY","45421/miguel-tourigny","D","2020","61","0.2787","0.0984","0.3770","7","10","5","17","4","2","2","6","0","0","0","124","5.65","9.76","41","169","6.51","11","23","30","0.4918","2.77","73.91","47.83","56","51","52.34","1.57","99","96","20.97","1.0790","2002-02-09","18.60","18.89","89","BLB","5'07","R","2020","","","-","pick224.com/images/45421_miguel-tourigny2020.png"
"QMJHL","Elliot Desnoyers","DY","45369/elliot-desnoyers","F","2020","61","0.2951","0.0656","0.3607","9","9","9","18","2","2","4","4","0","0","0","130","6.92","12.50","16","153","7.19","11","22","35","0.5738","2.51","81.82","50.00","45","33","57.69","- 11.41","161","72","14.80","1.4625","2002-01-21","18.65","18.94","9","MON","5'11","L","2020","","","-","pick224.com/images/45369_elliot-desnoyers2020.png"
"QMJHL","Zachary Roy (02)","DY","48957/zachary-roy","F","2020","50","0.3200","0.0400","0.3600","12","4","3","16","2","0","0","2","0","0","0","83","14.46","20.00","10","94","14.89","14","18","21","0.4200","1.88","88.89","77.78","33","26","55.93","4.60","96","91","13.43","1.6081","2002-01-07","18.69","18.98","24","BLB","6'00","R","2020","","","-","pick224.com/images/45899_zachary-roy2020.png"
"OHL","Theoren Hill","DY","45511/theoren-hill","F","2020","53","0.3396","0.0189","0.3585","10","8","4","18","1","0","0","1","0","0","0","52","19.23","100.00","1","53","20.75","11","19","23","0.4340","1.00","94.74","57.89","33","42","44.00","0.94","121","160","12.15","1.7708","2002-04-04","18.45","18.74","16","SAR","6'00","L","2020","","","-","pick224.com/images/45511_theoren-hill2020.png"
"OHL","Jack Thompson","DY","45480/jack-thompson","D","2020","63","0.2222","0.1111","0.3492","9","5","7","14","3","4","3","7","1","0","0","128","7.03","6.98","43","174","7.47","13","22","32","0.5079","2.76","66.67","57.14","53","61","46.49","- 7.77","140","118","20.10","1.0424","2002-03-19","18.49","18.78","22","SBY","6'01","R","2020","","","-","pick224.com/images/45480_jack-thompson2020.png"
"WHL","Simon Kubicek","DY","45310/simon-kubicek","D","2020","52","0.1346","0.2115","0.3462","3","4","6","7","4","7","2","11","0","0","0","0","0.00","0.00","0","119","5.88","7","18","26","0.5000","2.29","38.89","38.89","38","50","43.18","1.27","57","79","19.54","1.0632","2001-12-19","18.74","19.03","2","SEA","6'02","R","2020","","","-",""
"OHL","Kyle McDonald","DY","45411/kyle-mcdonald","F","2020","52","0.3269","0.0192","0.3462","13","4","1","17","0","1","0","1","0","0","0","61","21.31","0.00","2","63","20.63","13","18","19","0.3654","1.21","94.44","72.22","25","31","44.64","- 9.90","144","120","11.50","1.8061","2002-02-05","18.61","18.91","25","WSR","6'04","R","2020","","","-","pick224.com/images/45411_kyle-mcdonald2020.png"
"WHL","Kaiden Guhle","DY","45362/kaiden-guhle","D","2020","64","0.2188","0.1250","0.3438","6","8","10","14","5","3","8","8","0","0","0","0","0.00","0.00","0","143","7.69","11","22","40","0.6250","2.23","63.64","50.00","72","52","58.06","- 1.12","87","60","21.00","0.9819","2002-01-18","18.66","18.95","6","PA","6'03","L","2020","","","-",""
"WHL","Matthew Rempe","DY","45627/matthew-rempe","F","2020","47","0.2553","0.0851","0.3404","7","5","12","12","4","0","1","4","0","0","0","0","0.00","0.00","0","84","13.10","11","16","29","0.6170","1.79","75.00","68.75","35","35","50.00","6.25","70","90","14.33","1.4249","2002-06-29","18.21","18.51","32","SEA","6'08","R","2020","","","-",""
"WHL","Noah Boyko","DY","45679/noah-boyko","F","2020","47","0.2979","0.0426","0.3404","9","5","6","14","1","1","3","2","0","0","0","0","0.00","0.00","0","97","10.31","10","16","25","0.5319","2.06","87.50","62.50","29","19","60.42","- 1.78","102","62","12.63","1.6173","2002-08-29","18.04","18.34","19","LET","6'01","R","2020","","","-",""
"WHL","Kasper Puutio","DY","45600/kasper-puutio","D","2020","56","0.2500","0.0893","0.3393","3","11","7","14","2","3","2","5","0","0","0","0","0.00","0.00","0","100","5.00","5","19","28","0.5000","1.79","73.68","26.32","45","48","48.39","2.09","75","87","18.82","1.0820","2002-06-03","18.28","18.58","4","SC/EVT","6'00","R","2020","","","-",""
"QMJHL","William Provost","DY","45518/william-provost","F","2020","51","0.3137","0.0000","0.3333","5","11","1","16","0","0","0","0","1","0","0","42","11.90","0.00","0","43","13.95","6","17","18","0.3529","0.84","100.00","31.25","25","29","46.30","0.96","102","123","11.59","1.7256","2002-04-09","18.43","18.73","27","VDO","5'11","L","2020","","","-","pick224.com/images/45518_william-provost2020.png"
"OHL","Tanner Dickinson","DY","45460/tanner-dickinson","F","2020","64","0.1875","0.1406","0.3281","7","5","11","12","2","7","8","9","0","0","0","87","8.05","11.76","17","104","8.65","9","21","40","0.6250","1.63","57.14","42.86","38","47","44.71","- 6.02","140","136","14.20","1.3862","2002-03-05","18.53","18.82","71","SOO","6'00","L","2020","","","-","pick224.com/images/45460_tanner-dickinson2020.png"
"WHL","Jonny Hooker","DY","45203/jonny-hooker","F","2020","58","0.2931","0.0345","0.3276","12","5","1","17","2","0","0","2","0","0","0","0","0.00","0.00","0","78","17.95","14","19","20","0.3448","1.34","89.47","73.68","26","22","54.17","4.91","99","102","11.85","1.6592","2001-10-03","18.95","19.24","18","BDN/PG","6'01","L","2020","","","-",""
"QMJHL","Philippe Daoust","DY","49007/philippe-daoust","F","2020","58","0.2414","0.0345","0.3276","4","10","9","14","0","2","1","2","3","0","0","67","5.97","0.00","4","77","9.09","7","19","29","0.5000","1.33","87.50","25.00","37","26","58.73","- 6.91","149","78","13.02","1.5097","2001-11-05","18.86","19.16","10","MON","5'11","L","2020","","","-","pick224.com/images/45985_philippe-daoust2020.png"
"WHL","Alex Thacker","DY","45502/alex-thacker","F","2020","55","0.2182","0.0909","0.3273","3","9","4","12","1","4","3","5","0","1","0","0","0.00","0.00","0","73","5.48","4","18","25","0.4545","1.33","70.59","23.53","23","21","52.27","- 3.64","123","97","11.37","1.7267","2002-03-29","18.46","18.76","20","LET","5'11","-","2020","","","-",""
"QMJHL","Justin Barron","DY","45269/justin-barron","D","2020","34","0.1765","0.1471","0.3235","3","3","2","6","1","4","6","5","0","0","0","69","4.35","6.67","15","86","4.65","4","11","19","0.5588","2.53","54.55","36.36","25","46","35.21","- 12.52","42","46","25.31","0.7670","2001-11-15","18.83","19.13","20","HAL","6'02","R","2020","","","-","pick224.com/images/45269_justin-barron2020.png"
"OHL","Brendan Hoffman","DY","45217/brendan-hoffman","F","2020","62","0.3065","0.0000","0.3226","12","7","3","19","0","0","0","0","0","1","0","98","12.24","0.00","6","113","10.62","12","20","23","0.3710","1.82","100.00","63.16","35","29","54.69","7.02","133","146","12.82","1.5101","2001-10-09","18.93","19.23","91","ER","6'02","R","2020","","","-","pick224.com/images/45217_brendan-hoffman2020.png"
"WHL","Chase Wheatcroft","DY","45322/chase-wheatcroft","F","2020","59","0.3051","0.0000","0.3220","7","11","9","18","0","0","1","0","0","1","0","0","0.00","0.00","0","81","8.64","7","19","29","0.4915","1.37","100.00","38.89","45","22","67.16","12.37","120","99","12.41","1.5571","2002-01-01","18.71","19.00","26","LET","6'01","-","2020","","","-",""
"OHL","Donovan Sebrango","DY","45352/donovan-sebrango","D","2020","56","0.2857","0.0357","0.3214","5","11","9","16","1","1","3","2","0","0","0","96","5.21","6.67","15","115","5.22","6","18","30","0.5357","2.05","88.89","33.33","59","60","49.58","- 10.64","112","74","21.91","0.8802","2002-01-12","18.68","18.97","37","KIT","6'00","L","2020","","","-","pick224.com/images/45352_donovan-sebrango2020.png"
"WHL","Riley Fiddler-Schultz","DY","45567/riley-fiddler-schultz","F","2020","44","0.2273","0.0455","0.3182","6","4","5","10","1","1","0","2","2","0","0","0","0.00","0.00","0","88","10.23","9","14","19","0.4318","2.00","83.33","58.33","23","16","58.97","4.49","85","71","12.45","1.5336","2002-05-13","18.34","18.63","21","CGY","5'10","L","2020","","","-",""
"QMJHL","Dawson Stairs","DY","45381/dawson-stairs","F","2020","63","0.2381","0.0794","0.3175","12","3","5","15","5","0","3","5","0","0","0","82","14.63","31.25","16","101","16.83","17","20","28","0.4444","1.60","75.00","85.00","42","58","42.00","- 3.42","124","149","14.80","1.2870","2002-01-25","18.64","18.93","67","SNB","5'10","L","2020","","","-","pick224.com/images/45381_dawson-stairs2020.png"
"OHL","Alex Johnston","DY","45277/alex-johnston","F","2020","64","0.2656","0.0000","0.3125","10","7","6","17","0","0","0","0","2","1","0","86","11.63","0.00","1","101","11.88","12","20","26","0.4063","1.58","100.00","58.82","43","46","48.31","- 1.32","135","137","14.52","1.2912","2001-11-19","18.82","19.12","15","SOO","6'00","L","2020","","","-","pick224.com/images/45277_alex-johnston2020.png"
"OHL","Cameron Tolnai","DY","45428/cameron-tolnai","F","2020","52","0.2692","0.0192","0.3077","7","7","6","14","1","0","0","1","0","1","0","48","14.58","14.29","7","56","14.29","8","16","22","0.4231","1.08","93.33","53.33","32","24","57.14","- 9.22","148","75","12.12","1.5232","2002-02-14","18.59","18.88","10","OTT","6'00","L","2020","","","-","pick224.com/images/45428_cameron-tolnai2020.png"
"WHL","Aiden Bulych","DY","46201/aiden-bulych","F","2020","62","0.2419","0.0645","0.3065","11","4","3","15","3","1","0","4","0","0","0","0","0.00","0.00","0","73","19.18","14","19","22","0.3548","1.18","78.95","73.68","29","56","34.12","5.02","71","173","13.65","1.3474","2001-11-09","18.85","19.14","23","SC","5'11","L","2020","","","-",""
"WHL","Evan Herman","DY","46124/evan-herman","F","2020","59","0.2373","0.0508","0.3051","7","7","3","14","1","2","1","3","1","0","0","0","0.00","0.00","0","84","10.71","9","18","22","0.3729","1.42","82.35","47.06","24","23","51.06","- 8.64","120","81","11.89","1.5394","2002-03-22","18.48","18.78","22","PA","5'09","-","2020","","","-",""
"WHL","Ryker Evans","DY","45302/ryker-evans","D","2020","63","0.2381","0.0635","0.3016","6","9","9","15","1","3","3","4","0","0","0","0","0.00","0.00","0","138","5.07","7","19","31","0.4921","2.19","78.95","36.84","60","69","46.51","6.30","76","113","19.80","0.9141","2001-12-13","18.76","19.05","41","REG","5'10","L","2020","","","-",""
"OHL","Andrei Bakanov","DY","45590/andrei-bakanov","F","2020","55","0.2545","0.0364","0.2909","9","5","6","14","2","0","1","2","0","0","0","74","12.16","16.67","12","87","12.64","11","16","23","0.4182","1.58","87.50","68.75","30","45","40.00","- 16.59","116","89","14.29","1.2212","2002-05-28","18.30","18.59","11","GUE","6'02","L","2020","","","-","pick224.com/images/45590_andrei-bakanov2020.png"
"WHL","Tyson Upper","DY","45316/tyson-upper","F","2020","62","0.2581","0.0323","0.2903","8","8","4","16","0","2","1","2","0","0","0","0","0.00","0.00","0","119","6.72","8","18","23","0.3710","1.92","88.89","44.44","30","45","40.00","- 0.48","68","100","14.52","1.1998","2001-12-23","18.73","19.02","9","PG","5'10","R","2020","","","-",""
"WHL","Jaxsen Wiebe","DY","46222/jaxsen-wiebe","F","2020","52","0.2692","0.0192","0.2885","7","7","2","14","1","0","0","1","0","0","0","0","0.00","0.00","0","68","11.76","8","15","17","0.3269","1.31","93.33","53.33","23","29","44.23","2.97","85","121","11.98","1.4453","2002-05-16","18.33","18.63","17","RD","6'01","R","2020","","","-",""
"OHL","Isaak Phillips","DY","45194/isaak-phillips","D","2020","63","0.2381","0.0476","0.2857","8","7","8","15","1","2","0","3","0","0","0","81","9.88","11.11","9","95","9.47","9","18","26","0.4127","1.51","83.33","50.00","60","57","51.28","- 0.87","133","122","18.58","0.9226","2001-09-28","18.96","19.26","7","SBY","6'03","L","2020","","","-","pick224.com/images/45194_isaak-phillips2020.png"
"QMJHL","Jeremy Lapointe","DY","45993/jeremy-lapointe","F","2020","60","0.1167","0.1500","0.2833","7","0","1","7","4","5","1","9","1","0","0","73","9.59","18.18","22","97","12.37","12","17","19","0.3167","1.62","43.75","68.75","23","27","46.00","- 6.63","130","117","13.13","1.2948","2002-09-02","18.04","18.33","24","DRU","6'02","L","2020","","","-","pick224.com/images/45993_jeremy-lapointe2020.png"
"QMJHL","Frederyck Janvier","DY","45686/frederyck-janvier","F","2020","25","0.2400","0.0400","0.2800","5","1","1","6","0","1","0","1","0","0","0","45","11.11","0.00","5","50","10.00","5","7","8","0.3200","2.00","85.71","71.43","11","7","61.11","0.24","56","36","12.02","1.3971","2002-09-08","18.02","18.31","88","RIM","5'06","L","2020","","","-","pick224.com/images/45686_frederyck-janvier2020.png"
"OHL","Ryan Stepien","DY","45173/ryan-stepien","F","2020","61","0.2295","0.0328","0.2787","8","6","8","14","0","2","0","2","1","0","0","90","8.89","0.00","6","97","9.28","9","17","25","0.4098","1.59","87.50","50.00","37","38","49.33","- 3.74","121","107","13.53","1.2357","2001-09-19","18.99","19.28","16","KIT/OSH","5'10","R","2020","","","-","pick224.com/images/45173_ryan-stepien2020.png"
"WHL","Ben Zloty","DY","45450/ben-zloty","D","2020","54","0.1111","0.1667","0.2778","0","6","8","6","4","5","4","9","0","0","0","0","0.00","0.00","0","89","4.49","4","15","27","0.5000","1.65","40.00","26.67","41","36","53.25","0.89","100","91","16.61","1.0034","2002-02-24","18.56","18.85","4","WPG","6'00","L","2020","","","-",""
"WHL","Cole Carrier","DY","45634/cole-carrier","F","2020","18","0.2778","0.0000","0.2778","3","2","1","5","0","0","0","0","0","0","0","0","0.00","0.00","0","21","14.29","3","5","6","0.3333","1.17","100.00","60.00","8","14","36.36","- 7.47","32","41","12.69","1.3137","2002-07-03","18.20","18.49","21","REG","5'11","L","2020","","","-",""
"OHL","Avery Winslow","DY","45676/avery-winslow","D","2020","40","0.2250","0.0500","0.2750","2","7","2","9","0","2","0","2","0","0","0","33","6.06","0.00","10","43","4.65","2","11","13","0.3250","1.08","81.82","18.18","35","34","50.72","2.90","77","84","17.59","0.9379","2002-08-24","18.06","18.35","8","LDN/NB","6'00","L","2020","","","-","pick224.com/images/45676_avery-winslow2020.png"
"WHL","Zack Smith","DY","47168/zack-smith","F","2020","51","0.2353","0.0392","0.2745","10","2","5","12","2","0","0","2","0","0","0","0","0.00","0.00","0","82","14.63","12","14","19","0.3725","1.61","85.71","85.71","30","29","50.85","7.85","86","114","12.77","1.2903","2001-12-28","18.71","19.01","19","REG","5'11","R","2020","","","-",""
"OHL","Ruben Rafkin","DY","45336/ruben-rafkin","D","2020","59","0.1695","0.1017","0.2712","3","7","8","10","1","5","7","6","0","0","0","59","5.08","12.50","8","67","5.97","4","16","31","0.5254","1.14","62.50","25.00","57","51","52.78","- 1.04","127","109","18.42","0.8832","2002-01-08","18.69","18.98","88","WSR","6'00","R","2020","","","-","pick224.com/images/45336_ruben-rafkin2020.png"
"WHL","Luke Prokop","DY","45555/luke-prokop","D","2020","59","0.2373","0.0169","0.2712","4","10","5","14","0","1","1","1","0","1","1","0","0.00","0.00","0","83","4.82","4","16","23","0.3898","1.41","93.33","26.67","47","45","51.09","- 7.93","108","75","17.28","0.9415","2002-05-06","18.36","18.65","6","CGY","6'04","R","2020","","","-",""
"OHL","Matthew Papais","DY","45394/matthew-papais","F","2020","53","0.2642","0.0000","0.2642","10","4","0","14","0","0","0","0","0","0","0","87","11.49","0.00","4","91","10.99","10","14","14","0.2642","1.72","100.00","71.43","21","23","47.73","- 6.26","115","98","11.85","1.3375","2002-01-29","18.63","18.92","24","GUE","5'10","L","2020","","","-","pick224.com/images/45394_matthew-papais2020.png"
"OHL","Lleyton Moore","DY","45454/lleyton-moore","D","2020","57","0.1228","0.1228","0.2632","4","3","6","7","2","5","7","7","0","1","0","86","4.65","14.29","14","100","6.00","6","15","28","0.4912","1.75","50.00","42.86","54","50","51.92","5.18","86","98","20.30","0.7780","2002-02-27","18.55","18.84","12","OSH","5'09","L","2020","","","-","pick224.com/images/45454_lleyton-moore2020.png"
"QMJHL","Thomas Belgarde","DY","45912/thomas-belgarde","F","2020","42","0.2143","0.0476","0.2619","7","2","1","9","2","0","0","2","0","0","0","37","18.92","100.00","2","41","21.95","9","11","12","0.2857","0.98","81.82","81.82","14","6","70.00","10.23","104","70","10.09","1.5568","2002-01-29","18.63","18.92","12","CHI","5'11","L","2020","","","-","pick224.com/images/45912_thomas-belgarde2020.png"
"QMJHL","Ivan Ivan","DY","48950/ivan-ivan","F","2020","62","0.2258","0.0161","0.2581","9","5","5","14","1","0","1","1","1","0","0","68","13.24","12.50","8","79","13.92","11","16","22","0.3548","1.27","93.33","66.67","37","27","57.81","- 3.26","171","109","13.00","1.1913","2002-08-20","18.07","18.36","49","CAP","5'11","L","2020","","","-","pick224.com/images/45891_ivan-ivan2020.png"
"WHL","Jared Davidson","DY","45637/jared-davidson","F","2020","59","0.1864","0.0678","0.2542","6","5","0","11","2","2","0","4","0","0","0","0","0.00","0.00","0","99","8.08","8","15","15","0.2542","1.68","73.33","53.33","21","32","39.62","- 5.59","104","126","12.23","1.2475","2002-07-07","18.19","18.48","29","SEA","5'10","L","2020","","","-",""
"WHL","Daemon Hunt","DY","45574/daemon-hunt","D","2020","28","0.0357","0.2143","0.2500","0","1","2","1","0","6","6","6","0","0","0","0","0.00","0.00","0","65","0.00","0","7","15","0.5357","2.32","14.29","0.00","15","39","27.78","- 11.30","34","53","20.32","0.7383","2002-05-15","18.33","18.63","10","MJ","6'00","L","2020","","","-",""
"OHL","Cameron Supryka","DY","45247/cameron-supryka","D","2020","53","0.2264","0.0189","0.2453","2","10","6","12","1","0","2","1","0","0","0","33","6.06","50.00","2","37","8.11","3","13","21","0.3962","0.70","92.31","23.08","41","39","51.25","6.75","93","116","15.45","0.9525","2001-10-28","18.88","19.18","42","HAM","6'01","L","2020","","","-","pick224.com/images/45247_cameron-supryka2020.png"
"WHL","Keaton Sorensen","DY","46133/keaton-sorensen","F","2020","53","0.2453","0.0000","0.2453","7","6","1","13","0","0","0","0","0","0","0","0","0.00","0.00","0","54","12.96","7","13","14","0.2642","1.02","100.00","53.85","19","25","43.18","- 0.01","92","121","11.10","1.3263","2002-01-26","18.64","18.93","22","RD","5'09","R","2020","","","-",""
"WHL","Jace Isley","DY","46148/jace-isley","F","2020","49","0.2449","0.0000","0.2449","5","7","3","12","0","0","0","0","0","0","0","0","0.00","0.00","0","70","7.14","5","12","15","0.3061","1.43","100.00","41.67","24","27","47.06","3.12","87","111","12.14","1.2099","2002-07-14","18.17","18.46","18","RD","6'00","L","2020","","","-",""
"OHL","Jonah De Simone","DY","45449/jonah-de-simone","F","2020","63","0.2222","0.0159","0.2381","9","5","0","14","1","0","1","1","0","0","0","89","10.11","33.33","3","92","10.87","10","15","16","0.2540","1.46","93.33","66.67","23","50","31.51","- 5.78","110","185","12.26","1.1649","2002-02-24","18.56","18.85","11","NIAG","5'10","R","2020","","","-","pick224.com/images/45449_jonah-de-simone2020.png"
"WHL","Dallon Melin","DY","45495/dallon-melin","F","2020","63","0.2381","0.0000","0.2381","8","7","2","15","0","0","0","0","0","0","0","0","0.00","0.00","0","69","11.59","8","15","17","0.2698","1.10","100.00","53.33","20","30","40.00","- 3.30","113","148","11.02","1.2967","2002-03-26","18.47","18.76","21","RD","6'03","L","2020","","","-",""
